Category,PR,Title,MergedAt,Labels,URL
"Secrets / Config",365,"fix(secrets): image → images 시크릿 네이밍 통일","2026-01-09T18:26:11Z","bug","https://github.com/eco2-team/backend/pull/365"
"Clean Architecture",364,"refactor: image → images 전체 통일 + CI 수정","2026-01-09T17:42:17Z","refactor","https://github.com/eco2-team/backend/pull/364"
"Clean Architecture",363,"fix(ci): apps/ 마이그레이션 CI 수정 + domains/_base 제거","2026-01-09T16:09:44Z","bug","https://github.com/eco2-team/backend/pull/363"
"Clean Architecture",362,"fix(ci): apps/ 마이그레이션 후 CI 및 테스트 경로 수정","2026-01-09T15:59:42Z","bug","https://github.com/eco2-team/backend/pull/362"
"Clean Architecture",361,"refactor: 인프라 서비스 apps/ 마이그레이션 + DB/Redis 연결 정규화","2026-01-09T15:11:08Z","infrastructure;Kustomize;refactor","https://github.com/eco2-team/backend/pull/361"
"Domain APIs",360,"fix(image): Redis 연결 재시도 로직 추가 및 설정 개선","2026-01-09T11:48:57Z","fix","https://github.com/eco2-team/backend/pull/360"
"Event Streams",359,"fix: SSE Gateway CORS - credentials와 함께 사용 시 특정 origin 필요","2026-01-09T11:21:23Z","cors","https://github.com/eco2-team/backend/pull/359"
"Workers",358,"fix(character-worker): gevent pool 호환을 위해 동기 DB 세션 사용","2026-01-09T09:11:28Z","fix","https://github.com/eco2-team/backend/pull/358"
"Secrets / Config",357,"fix(secrets): users namespace dockerhub-secret ExternalSecret 추가","2026-01-09T08:46:54Z","fix","https://github.com/eco2-team/backend/pull/357"
"Workers",356,"fix(scan-worker): kombu publish 직렬화 에러 수정","2026-01-09T08:33:47Z","fix","https://github.com/eco2-team/backend/pull/356"
"Message Queue",355,"fix(scan-worker): Celery send_task exchange 파라미터 무시 문제 해결","2026-01-09T08:20:01Z","fix","https://github.com/eco2-team/backend/pull/355"
"Workers",354,"fix(workers): reward_character_task autodiscover 누락 수정","2026-01-09T08:04:31Z","fix","https://github.com/eco2-team/backend/pull/354"
"Message Queue",353,"refactor(rabbitmq): reward.direct → reward.events (Fanout) 전환","2026-01-09T07:40:55Z","refactor","https://github.com/eco2-team/backend/pull/353"
"Workers",352,"fix(workloads): Worker POSTGRES_HOST 수정 및 캐시 초기화 개선","2026-01-09T07:11:25Z","fix","https://github.com/eco2-team/backend/pull/352"
"Workers",351,"fix(character-worker): 캐시 초기화 예외 처리 및 lazy loading 추가","2026-01-09T06:55:47Z","bug","https://github.com/eco2-team/backend/pull/351"
"Message Queue",350,"fix(workers): Celery 큐 바인딩 및 캐시 초기화 수정","2026-01-09T06:47:26Z","bug","https://github.com/eco2-team/backend/pull/350"
"Message Queue",349,"fix(workers): Queue 바인딩에 AMQP Default Exchange 명시","2026-01-09T06:29:09Z","bug","https://github.com/eco2-team/backend/pull/349"
"Message Queue",348,"fix(scan-worker): celery 기본 큐 및 character.match 큐 추가","2026-01-09T06:02:44Z","fix","https://github.com/eco2-team/backend/pull/348"
"Message Queue",347,"fix(scan-worker): celery 기본 큐를 task_queues에 추가","2026-01-09T05:58:29Z","bug;fix","https://github.com/eco2-team/backend/pull/347"
"Message Queue",346,"fix(scan-api): Queue에 no_declare=True 추가","2026-01-09T05:48:15Z","bug;fix","https://github.com/eco2-team/backend/pull/346"
"Message Queue",345,"fix(scan-api): Queue에 no_declare=True 추가","2026-01-09T05:37:16Z","bug;fix","https://github.com/eco2-team/backend/pull/345"
"Message Queue",344,"fix(celery): Queue에 no_declare=True 추가","2026-01-09T05:13:35Z","bug","https://github.com/eco2-team/backend/pull/344"
"Message Queue",343,"fix(celery): task_queues 정의로 Topology CR 큐 사용","2026-01-09T04:54:05Z","bug","https://github.com/eco2-team/backend/pull/343"
"Message Queue",342,"fix(celery): task_create_missing_queues=False 설정 추가","2026-01-07T20:55:02Z","bug","https://github.com/eco2-team/backend/pull/342"
"Workers",341,"fix: add redis dependency to character_worker","2026-01-07T19:25:29Z","","https://github.com/eco2-team/backend/pull/341"
"Clean Architecture",340,"fix: export get_character_cache from cache __init__","2026-01-07T19:18:25Z","","https://github.com/eco2-team/backend/pull/340"
"Workers",339,"fix: add gevent dependency to character_worker","2026-01-07T19:09:45Z","","https://github.com/eco2-team/backend/pull/339"
"Message Queue",338,"fix: RabbitMQ 큐 전략 정비 및 CI 레거시 정리","2026-01-07T19:02:53Z","enhancement;refactor","https://github.com/eco2-team/backend/pull/338"
"Message Queue",337,"feat(queue): Named Exchange 기반 1:N 이벤트 라우팅 도입","2026-01-07T18:16:27Z","enhancement;infrastructure","https://github.com/eco2-team/backend/pull/337"
"Message Queue",336,"fix: add celery default queue to task_queues","2026-01-07T16:20:44Z","","https://github.com/eco2-team/backend/pull/336"
"Message Queue",335,"fix: add celery default queue to task_queues","2026-01-07T16:33:12Z","celery","https://github.com/eco2-team/backend/pull/335"
"Message Queue",334,"fix: use routing_key instead of queue for cross-domain dispatch","2026-01-07T16:03:55Z","celery","https://github.com/eco2-team/backend/pull/334"
"Message Queue",333,"fix: disable auto queue creation to avoid TTL mismatch","2026-01-07T15:54:08Z","","https://github.com/eco2-team/backend/pull/333"
"Message Queue",332,"fix: use AMQP default exchange for cross-domain task routing","2026-01-07T15:34:00Z","fix;celery","https://github.com/eco2-team/backend/pull/332"
"Message Queue",331,"fix: add exchange="""" for AMQP default exchange routing","2026-01-07T14:36:17Z","fix","https://github.com/eco2-team/backend/pull/331"
"Message Queue",330,"fix: use routing_key only to avoid queue auto-declare conflicts","2026-01-07T14:18:39Z","fix","https://github.com/eco2-team/backend/pull/330"
"Message Queue",329,"fix: use routing_key only to avoid queue auto-declare conflicts","2026-01-07T14:09:19Z","fix","https://github.com/eco2-team/backend/pull/329"
"Workers",328,"chore: scan-worker 이미지 빌드 트리거","2026-01-07T13:30:02Z","fix;chore","https://github.com/eco2-team/backend/pull/328"
"Message Queue",327,"fix(scan-worker): 기본 exchange 사용으로 character.match 라우팅 수정","2026-01-07T11:41:14Z","fix","https://github.com/eco2-team/backend/pull/327"
"Message Queue",325,"fix: Cross-Domain Exchange 불일치로 인한 태스크 전달 실패 수정","2026-01-07T11:00:51Z","bug;fix;infrastructure","https://github.com/eco2-team/backend/pull/325"
"Event Streams",324,"fix(canary): sse-gateway도 version: v1/v2 패턴으로 통일","2026-01-07T10:22:34Z","fix","https://github.com/eco2-team/backend/pull/324"
"Auth Offloading",323,"fix(canary): ext-authz stable subset 라우팅 수정","2026-01-07T10:18:40Z","","https://github.com/eco2-team/backend/pull/323"
"Canary Deployment",322,"fix(canary): stable/canary subset 라우팅 수정 (version 패턴 통일)","2026-01-07T11:01:30Z","bug","https://github.com/eco2-team/backend/pull/322"
"Event Streams",321,"fix(sse-gateway): stable/canary subset 라우팅 분리","2026-01-07T10:06:10Z","","https://github.com/eco2-team/backend/pull/321"
"Event Streams",320,"fix(routing): scan SSE 라우팅을 sse-gateway로 수정","2026-01-07T08:53:50Z","fix","https://github.com/eco2-team/backend/pull/320"
"Message Queue",319,"fix(scan): Celery 큐 설정을 scan_worker와 동일하게 맞춤","2026-01-07T08:34:48Z","fix","https://github.com/eco2-team/backend/pull/319"
"Infrastructure",318,"feat(netpol): auth → users gRPC NetworkPolicy 추가 및 레거시 정리","2026-01-07T08:04:06Z","refactor","https://github.com/eco2-team/backend/pull/318"
"Infrastructure",317,"feat(netpol): auth → users/character 도메인 간 통신 NetworkPolicy 추가","2026-01-07T07:49:24Z","fix","https://github.com/eco2-team/backend/pull/317"
"Clean Architecture",316,"refactor: Dockerfile 모듈 경로 패턴 통일 + 마이크로서비스 독립화","2026-01-07T06:06:45Z","docker","https://github.com/eco2-team/backend/pull/316"
"Message Queue",315,"fix(network): RabbitMQ NetworkPolicy에 users namespace 추가","2026-01-07T04:36:27Z","bug","https://github.com/eco2-team/backend/pull/315"
"Message Queue",314,"fix: Worker 큐 정합성 및 RabbitMQ CRD 정리","2026-01-07T04:20:00Z","bug;enhancement;rabbitmq","https://github.com/eco2-team/backend/pull/314"
"Workers",313,"fix(auth-worker): 큐 선언 인자를 CRD와 일치시킴","2026-01-07T04:06:50Z","bug;enhancement;rabbitmq","https://github.com/eco2-team/backend/pull/313"
"Message Queue",312,"fix: Gemini API 수정 및 RabbitMQ 큐 정합성 개선","2026-01-07T03:57:31Z","bug;enhancement;rabbitmq","https://github.com/eco2-team/backend/pull/312"
"Event Streams",311,"fix(argocd): event-router InvalidImageName 에러 해결","2026-01-07T03:02:07Z","bug;chore","https://github.com/eco2-team/backend/pull/311"
"Documentation",310,"fix: Gemini 3 API (google-genai) 공식 문서 기준 수정","2026-01-06T21:36:10Z","bug","https://github.com/eco2-team/backend/pull/310"
"Clean Architecture",309,"fix: Gemini Vision Adapter import 수정","2026-01-06T21:28:14Z","","https://github.com/eco2-team/backend/pull/309"
"Clean Architecture",308,"fix: Gemini LLM import 및 API 호환성 수정","2026-01-06T21:15:34Z","bug","https://github.com/eco2-team/backend/pull/308"
"Message Queue",307,"fix: scan-worker Celery 앱 경로 및 CI 오류 수정","2026-01-06T21:10:15Z","","https://github.com/eco2-team/backend/pull/307"
"Clean Architecture",306,"feat(apps): ORM Registry 통일 + 멀티스테이지 빌드","2026-01-06T20:42:40Z","bug;refactor;docker;ORM","https://github.com/eco2-team/backend/pull/306"
"Clean Architecture",305,"fix(scan-worker): Dockerfile 및 RESTful 엔드포인트 수정","2026-01-06T18:27:52Z","bug","https://github.com/eco2-team/backend/pull/305"
"Clean Architecture",304,"feat(scan): Clean Architecture 마이그레이션 + CI 정합성","2026-01-06T17:11:37Z","enhancement;refactor;CI;fastapi;kubernetes","https://github.com/eco2-team/backend/pull/304"
"Message Queue",303,"refactor: unify queue naming convention (task = queue 1:1)","2026-01-05T10:45:51Z","infrastructure;refactor","https://github.com/eco2-team/backend/pull/303"
"Domain APIs",302,"fix(auth): OAuth 실패 시 프론트엔드로 리다이렉트","2026-01-04T15:43:24Z","bug","https://github.com/eco2-team/backend/pull/302"
"Clean Architecture",301,"refactor(location): Clean Architecture 마이그레이션","2026-01-04T15:24:12Z","enhancement;refactor","https://github.com/eco2-team/backend/pull/301"
"Domain APIs",300,"refactor(character): UseCase에서 Service로 비즈니스 로직 분리","2026-01-04T12:12:02Z","refactor;character","https://github.com/eco2-team/backend/pull/300"
"Clean Architecture",299,"fix(users): return character list as array (domains/my compatibility)","2026-01-04T10:41:59Z","bug","https://github.com/eco2-team/backend/pull/299"
"Domain APIs",298,"fix(users): add CORS middleware for frontend compatibility","2026-01-04T10:34:39Z","","https://github.com/eco2-team/backend/pull/298"
"Clean Architecture",297,"refactor: change API path from /api/v1/user to /api/v1/users","2026-01-04T10:05:21Z","","https://github.com/eco2-team/backend/pull/297"
"API Routing",296,"fix: update test paths to /api/v1 prefix","2026-01-04T09:57:00Z","test","https://github.com/eco2-team/backend/pull/296"
"API Routing",295,"fix: add /api/v1 prefix to users-api routers","2026-01-04T09:54:26Z","chore;hotfix","https://github.com/eco2-team/backend/pull/295"
"Clean Architecture",294,"fix: unify users-api service port to 8000 and route to users namespace","2026-01-04T09:52:18Z","","https://github.com/eco2-team/backend/pull/294"
"API Routing",293,"fix: route /api/v1/user to users-api instead of my-api","2026-01-04T09:45:43Z","users","https://github.com/eco2-team/backend/pull/293"
"Domain APIs",292,"feat(auth): Redis 클라이언트에 재시도 로직 추가","2026-01-04T09:32:37Z","character;auth","https://github.com/eco2-team/backend/pull/292"
"Domain APIs",291,"fix(users): status Enum을 Text로 변경 (domains 호환)","2026-01-04T09:13:58Z","bug;users","https://github.com/eco2-team/backend/pull/291"
"Domain APIs",290,"fix(character): 기본 캐릭터 코드를 char-eco로 수정","2026-01-04T05:49:34Z","bug;character","https://github.com/eco2-team/backend/pull/290"
"gRPC",289,"feat(character): apps 기반 gRPC 서버 진입점 추가","2026-01-04T05:38:07Z","character","https://github.com/eco2-team/backend/pull/289"
"Redis",288,"fix(workloads): POSTGRES_HOST/REDIS_HOST를 secret에서 가져오도록 수정","2026-01-04T05:24:10Z","bug;character","https://github.com/eco2-team/backend/pull/288"
"Domain APIs",286,"feat(character): 로컬 캐시 + MQ broadcast 동기화 구현","2026-01-03T19:21:15Z","enhancement;character","https://github.com/eco2-team/backend/pull/286"
"Message Queue",285,"fix(deps): add celery to users requirements","2026-01-03T16:19:14Z","hotfix;users","https://github.com/eco2-team/backend/pull/285"
"Observability",284,"fix(deps): add opentelemetry-propagator-b3 for Istio compatibility","2026-01-03T15:37:25Z","","https://github.com/eco2-team/backend/pull/284"
"Observability",283,"fix(deps): add opentelemetry-propagator-b3 for Istio compatibility","2026-01-03T16:21:47Z","hotfix","https://github.com/eco2-team/backend/pull/283"
"CI/CD",282,"fix(ci): add apps/character to CI services detection","2026-01-03T15:24:47Z","refactor;clean architecture","https://github.com/eco2-team/backend/pull/282"
"Clean Architecture",281,"feat(character): migrate to Clean Architecture","2026-01-03T13:52:53Z","refactor","https://github.com/eco2-team/backend/pull/281"
"Clean Architecture",280,"feat(character): migrate to Clean Architecture","2026-01-03T13:46:27Z","character;users","https://github.com/eco2-team/backend/pull/280"
"Clean Architecture",279,"feat(character): Clean Architecture 마이그레이션","2026-01-03T13:42:01Z","refactor;character","https://github.com/eco2-team/backend/pull/279"
"Database",278,"feat(migrations): Alembic 스키마 버저닝 도입","2026-01-03T10:29:02Z","migration;version","https://github.com/eco2-team/backend/pull/278"
"Canary Deployment",277,"feat(ci): canary PR 머지 시 canary 이미지만 업데이트","2026-01-03T08:31:55Z","CI;canary","https://github.com/eco2-team/backend/pull/277"
"Clean Architecture",276,"fix(users): CharacterListResponse export 누락 수정","2026-01-02T18:24:06Z","canary","https://github.com/eco2-team/backend/pull/276"
"Clean Architecture",275,"fix: auth/docs 충돌, users 스키마 domains/my 호환","2026-01-02T18:15:37Z","canary","https://github.com/eco2-team/backend/pull/275"
"Canary Deployment",274,"fix(auth): refresh 응답 정합성 수정 (body 없이 201)","2026-01-02T18:05:02Z","canary","https://github.com/eco2-team/backend/pull/274"
"Canary Deployment",273,"fix(auth): logout 응답 형식 domains와 일치","2026-01-02T18:01:41Z","canary","https://github.com/eco2-team/backend/pull/273"
"Canary Deployment",272,"fix(auth): logout/refresh 헤더에서 토큰 읽기 (EnvoyFilter 호환)","2026-01-02T17:30:03Z","canary","https://github.com/eco2-team/backend/pull/272"
"Canary Deployment",271,"fix(auth): 쿠키 이름 수정 (s_access, s_refresh)","2026-01-02T17:20:26Z","canary","https://github.com/eco2-team/backend/pull/271"
"Canary Deployment",270,"fix(auth): User 엔티티 __weakref__ 슬롯 추가","2026-01-02T17:12:24Z","canary","https://github.com/eco2-team/backend/pull/270"
"Canary Deployment",269,"fix(auth): UsersQueryGateway selectinload 에러 수정","2026-01-02T16:55:46Z","canary","https://github.com/eco2-team/backend/pull/269"
"Canary Deployment",268,"fix(auth): 쿠키 도메인 환경변수 이름 수정","2026-01-02T16:43:48Z","canary","https://github.com/eco2-team/backend/pull/268"
"Canary Deployment",267,"fix(auth): OAuth 콜백 쿠키가 RedirectResponse에 포함되지 않는 문제 수정","2026-01-02T16:32:53Z","canary","https://github.com/eco2-team/backend/pull/267"
"Canary Deployment",266,"fix(auth/users): gRPC 연동 완료 및 버그 수정","2026-01-02T16:16:08Z","gRPC;canary;users","https://github.com/eco2-team/backend/pull/266"
"Infrastructure",265,"fix(auth/users): gRPC 연동 버그 수정 및 NetworkPolicy 추가","2026-01-02T15:58:49Z","canary","https://github.com/eco2-team/backend/pull/265"
"Canary Deployment",264,"fix(users-grpc): gRPC 서버 버그 수정 - enum 매핑 및 transaction manager","2026-01-02T15:19:53Z","canary;users","https://github.com/eco2-team/backend/pull/264"
"Canary Deployment",263,"fix(users-grpc): gRPC 서버 버그 수정 - interceptor 및 transaction manager","2026-01-02T15:05:25Z","gRPC;canary","https://github.com/eco2-team/backend/pull/263"
"Canary Deployment",262,"fix(users-grpc): ErrorHandlerInterceptor context.method() 버그 수정","2026-01-02T14:55:42Z","gRPC;hotfix;canary","https://github.com/eco2-team/backend/pull/262"
"Clean Architecture",261,"fix(auth): gRPC import 경로 및 protobuf 호환성 수정","2026-01-02T14:28:14Z","auth;canary","https://github.com/eco2-team/backend/pull/261"
"Clean Architecture",260,"fix(auth): gRPC import 경로 및 protobuf 호환성 수정","2026-01-02T14:18:05Z","canary","https://github.com/eco2-team/backend/pull/260"
"Canary Deployment",259,"fix(auth): OAuth 레거시 호환성 및 protobuf 버전 수정","2026-01-02T14:10:06Z","hotfix;canary","https://github.com/eco2-team/backend/pull/259"
"Canary Deployment",258,"fix(auth): 레거시 OAuth 엔드포인트 JSON 응답으로 변경","2026-01-02T14:01:51Z","auth;canary","https://github.com/eco2-team/backend/pull/258"
"Canary Deployment",257,"fix(auth): CORS 와일드카드 대신 특정 origin 허용","2026-01-02T13:48:47Z","canary","https://github.com/eco2-team/backend/pull/257"
"Canary Deployment",256,"feat(auth): 레거시 OAuth 라우트 하위 호환성 추가","2026-01-02T12:41:39Z","auth;canary","https://github.com/eco2-team/backend/pull/256"
"Auth Offloading",255,"fix(authz): OAuth bypass 경로 업데이트","2026-01-02T12:36:24Z","","https://github.com/eco2-team/backend/pull/255"
"Clean Architecture",254,"fix(auth): import path 수정","2026-01-02T12:24:13Z","auth;canary","https://github.com/eco2-team/backend/pull/254"
"Clean Architecture",253,"fix: asyncpg timezone 설정 및 스키마 마이그레이션","2026-01-02T12:06:06Z","migration;canary;users;DB","https://github.com/eco2-team/backend/pull/253"
"Infrastructure",252,"feat(users): Users 노드 추가 및 gRPC protobuf 호환성 수정","2026-01-02T11:45:23Z","canary;users;protobuf","https://github.com/eco2-team/backend/pull/252"
"Clean Architecture",251,"refactor: Auth/Users Clean Architecture 고도화 및 스키마 통합","2026-01-02T09:28:40Z","auth;canary","https://github.com/eco2-team/backend/pull/251"
"Workers",250,"fix: auth-relay/worker 배포 및 Karpenter 스케줄링 수정","2026-01-01T12:30:54Z","canary","https://github.com/eco2-team/backend/pull/250"
"Workers",249,"fix(auth-relay): correct secret key and nodeSelector","2026-01-01T11:37:38Z","fix;canary","https://github.com/eco2-team/backend/pull/249"
"Workers",248,"fix(manifests): correct nodeSelector for auth-relay/auth-worker","2026-01-01T11:24:34Z","canary","https://github.com/eco2-team/backend/pull/248"
"Clean Architecture",247,"feat(users): Add users domain with Clean Architecture","2026-01-02T01:57:50Z","refactor;gitops;canary;users","https://github.com/eco2-team/backend/pull/247"
"Canary Deployment",246,"feat(auth): 블랙리스트 이벤트 기반 아키텍처로 전환","2026-01-01T11:15:54Z","auth;canary","https://github.com/eco2-team/backend/pull/246"
"Clean Architecture",245,"feat(auth): Clean Architecture 리팩토링 및 CI/CD 연동","2025-12-30T19:10:07Z","refactor;canary","https://github.com/eco2-team/backend/pull/245"
"Canary Deployment",244,"feat: 헤더 기반 Canary 배포 인프라 구축","2025-12-30T13:08:58Z","deployment;canary","https://github.com/eco2-team/backend/pull/244"
"Auth Offloading",243,"feat(auth): Outbox Pattern 구현 - Blacklist 이벤트 발행 신뢰성 향상","2025-12-30T07:42:53Z","enhancement;auth;outbox","https://github.com/eco2-team/backend/pull/243"
"Domain APIs",242,"fix(auth): 테스트 격리 문제 수정","2025-12-29T15:42:21Z","fix;auth;testing","https://github.com/eco2-team/backend/pull/242"
